,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
2488,26,12/05/2015,WorkHorse,Service-On-Demand Mobile App,Mumbai,Undisclosed Investors,Seed Funding,N/A,
2489,27,13/05/2015,Innovaccer,Intelligent Data Analytics,Noida,"Rajan Anandan, Teru Sato, Aneesh Reddy, Venkatesh Valluri",Seed Funding,N/A,
2490,28,13/05/2015,MyCuteOffice,Online Office Rental,Mumbai,Lead Angels,Seed Funding,N/A,
2491,29,14/05/2015,IndianRoots.com,Lifestyle Ecommerce Portal,Gurgaon,KJS Group,Private Equity,"5,000,000",Series B
2492,30,14/05/2015,RedPolka,Online Fashion Aggregator,Mumbai,Undisclosed Investors,Seed Funding,"250,000",
2493,31,15/05/2015,Venturesity,Online Job skills Showcase,Bangalore,"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",Seed Funding,"270,000",
2494,32,18/05/2015,TheBetterIndia.com,Online News Media,Bangalore,Mohandas Pai,Seed Funding,N/A,Pre-Series Bridge
2495,33,18/05/2015,Awaaz De,Enterprise Communication Platform,Ahmedabad,Samir Shah,Seed Funding,N/A,
2496,34,19/05/2015,Chaayos,Offline Tea Chain,New Delhi,Tiger Global Management,Private Equity,"1,000,000",Series A
2497,35,19/05/2015,Akosha,Business Messaging App,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series B
2498,36,19/05/2015,Cooey,Health Mobile App,Bangalore,Subhash Goyal,Seed Funding,"470,000",
2499,37,19/05/2015,MeetUniv,Online Ed-Tech Platform,Noida,Peesh Venture Capital,Seed Funding,"1,000,000",
2500,38,19/05/2015,Inspirock,Online Travel Planning,,MakeMyTrip Innovation Fund,Private Equity,N/A,
2501,39,19/05/2015,Crown-it,Hyperlocal Mobile Marketplace,Gurgaon,"Accel Partners, Helion Venture Partners",Private Equity,"5,500,000",Series A
2502,40,19/05/2015,Trucksfirst,Trucking Logistic Operations,Gurgaon,SAIF partners,Private Equity,"10,000,000",Series A
2503,41,20/05/2015,Lookup,B2C Messaging App,Bangalore,Biz Stone,Private Equity,"3,000,000",Series A
2504,42,21/05/2015,SunTerrace,Rooftop Solar Plants,New Delhi,Sunergy Investors,Private Equity,N/A,
2505,43,22/05/2015, Nudgespot,Customer Engagement Platform,Bangalore,"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",Seed Funding,"625,000",
2506,44,22/05/2015,CarDekho,Online Car Portal,Jaipur,HDFC Bank,Private Equity,N/A,1% stake
2507,45,22/05/2015,EveningFlavors,Online Table Reservation,Bangalore,Sandiep Shrivatsava,Seed Funding,"500,000",
2508,46,25/05/2015,Razorpay,Online Payment Gateway,Bangalore,Punit Soni,Seed Funding,N/A,
2509,47,25/05/2015,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"500,000",
2510,48,25/05/2015,Newgen Payments,Payments Solution Provider,New Delhi,Jan Manten,Seed Funding,N/A,
2511,49,26/05/2015,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"2,000,000",Series A
2512,50,26/05/2015,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"200,000",
2513,51,26/05/2015,Renderlogy,Online Home Décor,Hyderabad,Astarc Ventures,Private Equity,"1,000,000",Series A
2514,52,27/05/2015,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"1,000,000",Series A
2515,53,27/05/2015,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"5,000,000",Series A
2516,54,27/05/2015,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"180,000",
2517,56,28/05/2015,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"240,000",
2518,57,28/05/2015,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"5,000,000",Series B Interim Funding
2519,58,28/05/2015,Truweight,Weight Management Service,Hyderabad,Kalaari Capital,Private Equity,N/A,Series A
2520,59,30/05/2015,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"12,000,000",Series A
2521,60,,,,,,,,
2522,,,,,,,,,
2523,1,01/04/2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,"3,800,000"
2524,2,03/04/2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,"8,200,000"
2525,3,03/04/2017,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,N/A
2526,4,03/04/2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,"40,000,000"
2527,5,03/04/2017,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,N/A
