,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
807,2016-07-14,2016.0,7.0,TransTutors / AskIITians,Consumer Internet,Online Education & Tutoring portals,Delhi,500 Startups,Private Equity,0.0
808,2016-07-15,2016.0,7.0,WorkApps,Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000.0
809,2016-07-15,2016.0,7.0,BankerBay,Consumer Internet,Online Investment Banking platform,Bengaluru,undisclosed investors,Private Equity,2000000.0
810,2016-07-15,2016.0,7.0,BaggOut,eCommerce,Women’s Fashion etailer,Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.0
811,2016-07-15,2016.0,7.0,TripShelf,eCommerce,Travel Package Marketplace,Delhi,GEMS group,Seed Funding,250000.0
812,2016-07-15,2016.0,7.0,SatvaCart,eCommerce,Online Grocers,Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.0
813,2016-07-15,2016.0,7.0,Ridlr,Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.0
814,2016-07-18,2016.0,7.0,Yellowdig,Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,650000.0
815,2016-07-18,2016.0,7.0,Zuppler,Consumer Internet,Online Food Ordering platform,Delhi,SRI Capital,Seed Funding,650000.0
816,2016-07-18,2016.0,7.0,BlueStone,eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000.0
817,2016-07-18,2016.0,7.0,underDOGS,Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.0
818,2016-07-18,2016.0,7.0,ImageProVision,Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,0.0
819,2016-07-19,2016.0,7.0,Sagacito,Technology,Cloud-Based Enterprise Solutions,Delhi,Star India Pvt. Ltd,Private Equity,10000000.0
820,2016-07-19,2016.0,7.0,Deal4Loans / Wishfin,Consumer Internet,"
Loans Comparison platform



",Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.0
821,2016-07-19,2016.0,7.0,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bengaluru,Prime Venture Partners,Private Equity,1000000.0
822,2016-07-19,2016.0,7.0,AppLop,Consumer Internet,Mobile Apps SaaS Platform,Gurugram,Green House Ventures Accelerator,Seed Funding,250000.0
823,2016-07-20,2016.0,7.0,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000.0
824,2016-07-20,2016.0,7.0,Truckola,Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000.0
825,2016-07-20,2016.0,7.0,iServe Financial,Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,0.0
826,2016-07-21,2016.0,7.0,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,Delhi,Nihon Kotsu Co,Private Equity,1000000.0
